Name,Team,Role,Batting Style,Bowling Style
Lakshan Sandakan,Sri Lanka,Bowler,Right hand Bat,Left arm Wrist spin
Lakshina Rodrigo,Sri Lanka,Wicketkeeper,Right hand Bat,
Lakshitha Manasinghe,Sri Lanka,Allrounder,Left hand Bat,Right arm Offbreak
Lakshmipathy Balaji,India,Bowler,Right hand Bat,Right arm Medium fast
Lance Cairns,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Lance Gibbs,West Indies,Bowler,Right hand Bat,Right arm Offbreak
Lance Klusener,South Africa,Allrounder,Left hand Bat,Right arm Fast medium
Lara Goodall,South Africa,Middle order Batter,Left hand Bat,Right arm Medium
Lara Maritz,Ireland,Bowler,Right hand Bat,Right arm Medium
Larry Gomes,West Indies,Middle order Batter,Left hand Bat,Right arm Offbreak
Lasith Abeyratne,Sri Lanka,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Lasith Croospulle,Sri Lanka,Opening Batter,Right hand Bat,Right arm Offbreak
Lasith Embuldeniya,Sri Lanka,Bowler,Left hand Bat,Slow Left arm Orthodox
Lasith Fernando,Sri Lanka,Batter,Right hand Bat,Right arm Offbreak
Lasith Malinga,Sri Lanka,Bowler,Right hand Bat,Right arm Fast
Lata Mondal,Bangladesh,Allrounder,Right hand Bat,Right arm Medium
Laura Delany,Ireland,Allrounder,Right hand Bat,Right arm Medium
Laura Marsh,England,Opening Batter,Right hand Bat,"Right arm Fast medium, Right arm Offbreak"
Laura Wolvaardt,South Africa,Opening Batter,Right hand Bat,
Lauren Bell,England,Bowler,Right hand Bat,Right arm Fast medium
Lauren Cheatle,Australia,Bowler,Left hand Bat,Left arm Fast medium
Lauren Down,New Zealand,Batter,Right hand Bat,Right arm Medium
Lauren Griffiths,England,Wicketkeeper,Right hand Bat,
Lauren Winfield-Hill,England,Batter,Right hand Bat,
Lawrence Rowe,West Indies,Top order Batter,Right hand Bat,Left arm Fast medium
Lea Tahuhu,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Leah Paul,Ireland,Allrounder,Left hand Bat,Slow Left arm Orthodox
Leanne Davis,England,Bowler,Right hand Bat,Right arm Medium fast
Lee-Ann Kirby,West Indies,Middle order Batter,Right hand Bat,Right arm Slow medium
Lee Germon,New Zealand,Wicketkeeper Batter,Right hand Bat,Legbreak
Leigh Kasperek,New Zealand,Bowler,Right hand Bat,Right arm Offbreak
Len Pascoe,Australia,Bowler,Right hand Bat,Right arm Fast
Lendl Simmons,West Indies,Top order Batter,Right hand Bat,Right arm Medium fast
Leon Johnson,West Indies,Middle order Batter,Left hand Bat,Legbreak
Leonardo Julien,West Indies,Wicketkeeper Batter,Left hand Bat,
Leonie Coleman,Australia,Wicketkeeper,Right hand Bat,
Lesego Senokwane,South Africa,Middle order Batter,Right hand Bat,Right arm Offbreak
Lesiba Ngoepe,South Africa,Allrounder,Left hand Bat,Slow Left arm Orthodox
Lewis Goldsworthy,England,Allrounder,Right hand Bat,Slow Left arm Orthodox
Lewis Gregory,England,Allrounder,Right hand Bat,Right arm Medium fast
Lewis McManus,England,Wicketkeeper Batter,Right hand Bat,
Liam Alder,South Africa,Bowler,Right hand Bat,Slow Left arm Orthodox
Liam Banks,England,Batter,Right hand Bat,Right arm Offbreak
Liam Davis,Australia,Opening Batter,Right hand Bat,Right arm Fast medium
Liam Dawson,England,Allrounder,Right hand Bat,Slow Left arm Orthodox
Liam Guthrie,Australia,Bowler,Left hand Bat,Left arm Fast
Liam Hatcher,Australia,Bowler,Right hand Bat,Right arm Fast medium
Liam Livingstone,England,Batting Allrounder,Right hand Bat,"Right arm Offbreak, Legbreak"
Liam Patterson-White,England,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Liam Plunkett,England,Bowler,Right hand Bat,Right arm Fast
Liam Roche,Zimbabwe,Middle order Batter,Right hand Bat,Right arm Offbreak
Liam Scott,Australia,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Liam Sebastien,West Indies,Allrounder,Left hand Bat,Right arm Offbreak
Liam Trevaskis,England,Bowler,Left hand Bat,Slow Left arm Orthodox
Lindsay Reeler,Australia,Opening Batter,Right hand Bat,Right arm Medium
Linsey Smith,England,Bowler,Left hand Bat,Slow Left arm Orthodox
Lionel Baker,West Indies,Bowler,Left hand Bat,Right arm Medium fast
Litton Das,Bangladesh,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Lizaad Williams,South Africa,Bowler,Left hand Bat,Right arm Medium fast
Lizelle Lee,South Africa,Opening Batter,Right hand Bat,Right arm Medium fast
Lloyd Pope,Australia,Bowler,Right hand Bat,Legbreak Googly
Lockie Ferguson,New Zealand,Bowler,Right hand Bat,Right arm Fast
Lonwabo Tsotsobe,South Africa,Bowler,Right hand Bat,Left arm Fast medium
Loots Bosman,South Africa,Opening Batter,Right hand Bat,Right arm Medium
Lorcan Tucker,Ireland,Wicketkeeper Batter,Right hand Bat,
Lorenzo Ingram,West Indies,Allrounder,Left hand Bat,Slow Left arm Orthodox
Lou Vincent,New Zealand,Batter,Right hand Bat,Right arm Medium
Luke Fletcher,England,Bowler,Right hand Bat,Right arm Medium fast
Luke Georgeson,New Zealand,Allrounder,Left hand Bat,Right arm Medium fast
Luke Hollman,England,Allrounder,Left hand Bat,Legbreak
Luke Jongwe,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Luke Pomersbach,Australia,Batter,Left hand Bat,Right arm Offbreak
Luke Ronchi,New Zealand,Wicketkeeper Batter,Right hand Bat,
Luke Wells,England,Top order Batter,Left hand Bat,"Right arm Offbreak, Legbreak"
Luke Wood,England,Bowling Allrounder,Left hand Bat,Left arm Fast medium
Luke Woodcock,New Zealand,Allrounder,Left hand Bat,Slow Left arm Orthodox
Luke Wright,England,Top order Batter,Right hand Bat,Right arm Medium
Lungi Ngidi,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Lutho Sipamla,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Lwandiswa Zuma,South Africa,Bowler,Right hand Bat,Right arm Fast
Mackenzie Harvey,Australia,Top order Batter,Left hand Bat,Right arm Medium fast
Madan Lal,India,Bowler,Right hand Bat,Right arm Medium
Maddy Green,New Zealand,Middle order Batter,Right hand Bat,Right arm Offbreak
Maduka Liyanapathiranage,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Mady Villiers,England,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Mafizur Rahman,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Mahbubul Alam,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast
Mahedi Hasan,Bangladesh,Allrounder,Right hand Bat,Right arm Offbreak
Maheesh Theekshana,Sri Lanka,Bowler,Right hand Bat,Right arm Offbreak
Mahela Jayawardene,Sri Lanka,Batter,Right hand Bat,Right arm Medium
Mahela Udawatte,Sri Lanka,Batter,Left hand Bat,Right arm Offbreak
Mahendra Nagamootoo,West Indies,Allrounder,Left hand Bat,Legbreak Googly
Mahfijul Islam,Bangladesh,Batter,Right hand Bat,Legbreak
Mahfuzur Rahman Rabby,Bangladesh,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Mahidul Islam Ankon,Bangladesh,Wicketkeeper Batter,Right hand Bat,
Mahipal Lomror,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Mahmood Hamid,Pakistan,Allrounder,Right hand Bat,Right arm Medium
Mahmood Hussain,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Mahmudul Hasan Joy,Bangladesh,Top order Batter,Right hand Bat,
Mahmudullah,Bangladesh,Allrounder,Right hand Bat,Right arm Offbreak
Maia Bouchier,England,Middle order Batter,Right hand Bat,Right arm Medium
Majid Khan,Pakistan,Allrounder,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Makhaya Ntini,South Africa,Bowler,Right hand Bat,Right arm Fast
Mal Loye,England,Opening Batter,Right hand Bat,Right arm Offbreak
Malcolm Marshall,West Indies,Bowler,Right hand Bat,Right arm Fast
Malcolm Waller,Zimbabwe,Batter,Right hand Bat,Right arm Offbreak
Malinda Pushpakumara,Sri Lanka,Allrounder,Right hand Bat,Slow Left arm Orthodox
Malinda Warnapura,Sri Lanka,Opening Batter,Left hand Bat,Right arm Offbreak
Malinga Amarasinghe,Sri Lanka,Allrounder,Left hand Bat,Right arm Medium fast
Malinga Bandara,Sri Lanka,Bowler,Right hand Bat,Legbreak
Malintha Gajanayake,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Malsha Shehani,Sri Lanka,Bowler,Right hand Bat,"Right arm Medium fast, Right arm Offbreak"
Malusi Siboto,South Africa,Bowler,Left hand Bat,Right arm Medium
Manan Sharma,India,Allrounder,Left hand Bat,Slow Left arm Orthodox
Manan Vohra,India,Opening Batter,Right hand Bat,Right arm Medium
Mandeep Singh,India,Allrounder,Right hand Bat,Right arm Medium
Mandy Mangru,West Indies,Batting Allrounder,Right hand Bat,Right arm Offbreak
Manelker De Silva,Sri Lanka,Allrounder,Left hand Bat,Right arm Medium fast
Mangaliso Mosehle,South Africa,Wicketkeeper Batter,Right hand Bat,
Maninder Singh,India,Bowler,Right hand Bat,Slow Left arm Orthodox
Manish Pandey,India,Top order Batter,Right hand Bat,Right arm Medium
Manjot Kalra,India,Opening Batter,Left hand Bat,Right arm Bowler
Manjurul Islam,Bangladesh,Bowler,Left hand Bat,Left arm Fast medium
Manoj Prabhakar,India,Bowling Allrounder,Right hand Bat,Right arm Medium
Manoj Tiwary,India,Batter,Right hand Bat,Legbreak Googly
Manpreet Gony,India,Bowler,Right hand Bat,Right arm Medium
Mansi Joshi,India,Bowler,Right hand Bat,Right arm Medium fast
Mansoor Akhtar,Pakistan,Top order Batter,Right hand Bat,Right arm Medium
Mansoor Amjad,Pakistan,Allrounder,Right hand Bat,Legbreak Googly
Mansur Ali Khan Pataudi,India,Middle order Batter,Right hand Bat,Right arm Medium
Manvinder  Bisla,India,Wicketkeeper,Right hand Bat,
Manzarul Islam,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Manzoor Elahi,Pakistan,Allrounder,Right hand Bat,Right arm Fast medium
Marchant de Lange,South Africa,Bowler,Right hand Bat,Right arm Fast
Marco Jansen,South Africa,Bowling Allrounder,Right hand Bat,Left arm Medium fast
Marcus Harris,Australia,Opening Batter,Left hand Bat,
Marcus North,Australia,Middle order Batter,Left hand Bat,Right arm Offbreak
Marcus Stoinis,Australia,Batting Allrounder,Right hand Bat,Right arm Medium
Marcus Trescothick,England,Opening Batter,Left hand Bat,Right arm Medium
Marizanne Kapp,South Africa,Allrounder,Right hand Bat,Right arm Medium
Mark Adair,Ireland,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Mark Boucher,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Mark Burgess,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Mark Burmester,Zimbabwe,Allrounder,Right hand Bat,Right arm Medium
Mark Chapman,New Zealand,Allrounder,Left hand Bat,Slow Left arm Orthodox
Mark Cosgrove,Australia,Top order Batter,Left hand Bat,Right arm Medium
Mark Craig,New Zealand,Bowler,Left hand Bat,Right arm Offbreak
Mark Dekker,Zimbabwe,Top order Batter,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox"
Mark Ealham,England,Allrounder,Right hand Bat,Right arm Medium fast
Mark Gillespie,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Mark Greatbatch,New Zealand,Opening Batter,Left hand Bat,Right arm Medium
Mark Nelson,England,Middle order Batter,Left hand Bat,Right arm Medium
Mark Pettini,England,Opening Batter,Right hand Bat,Right arm Medium
Mark Ramprakash,England,Top order Batter,Right hand Bat,Right arm Offbreak
Mark Richardson,New Zealand,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Mark Steketee,Australia,Bowler,Right hand Bat,Right arm Fast medium
Mark Taylor,Australia,Opening Batter,Left hand Bat,Right arm Medium
Mark Turner,England,Bowler,Right hand Bat,Right arm Medium fast
Mark Vermeulen,Zimbabwe,Top order Batter,Right hand Bat,Right arm Offbreak
Mark Wallace,England,Wicketkeeper Batter,Left hand Bat,
Mark Waugh,Australia,Allrounder,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Mark Wood,England,Bowler,Right hand Bat,Right arm Fast
Marlon Samuels,West Indies,Top order Batter,Right hand Bat,Right arm Offbreak
Marnus Labuschagne,Australia,Batting Allrounder,Right hand Bat,Legbreak
Marques Ackerman,South Africa,Middle order Batter,Left hand Bat,Right arm Offbreak
Marquino Mindley,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Marshall Ayub,Bangladesh,Top order Batter,Right hand Bat,Legbreak
Martin Crowe,New Zealand,Middle order Batter,Right hand Bat,Right arm Medium
Martin Guptill,New Zealand,Opening Batter,Right hand Bat,Right arm Offbreak
Martin Horton,England,Allrounder,Right hand Bat,Right arm Offbreak
Martin Love,Australia,Top order Batter,Right hand Bat,Right arm Offbreak
Martin Snedden,New Zealand,Bowler,Left hand Bat,Right arm Medium fast
Martin van Jaarsveld,South Africa,Top order Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Maruf Mridha,Bangladesh,Bowler,Left hand Bat,Left arm Medium
Marufa Akter,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast
Marvan Atapattu,Sri Lanka,Batter,Right hand Bat,Legbreak
Mary-Anne Musonda,Zimbabwe,Middle order Batter,Right hand Bat,Right arm Offbreak
Mary Spear,England,Middle order Batter,Right hand Bat,Right arm Medium fast
Mary Waldron,Ireland,Wicketkeeper Batter,Right hand Bat,
Masabata Klaas,South Africa,Bowler,Right hand Bat,Right arm Medium
Mashrafe Mortaza,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Mason Crane,England,Bowler,Right hand Bat,Legbreak Googly
Matheesha Pathirana,Sri Lanka,Bowler,Right hand Bat,Right arm Medium
Mathew Sinclair,New Zealand,Top order Batter,Right hand Bat,Right arm Medium
Matt Dunn,England,Bowler,Left hand Bat,Right arm Fast
Matt Henry,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Matt Horne,New Zealand,Top order Batter,Right hand Bat,Right arm Medium
Matt Parkinson,England,Bowler,Right hand Bat,Legbreak
Matt Prior,England,Wicketkeeper Batter,Right hand Bat,
Matt Quinn,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Matt Renshaw,Australia,Batter,Left hand Bat,Right arm Offbreak
Matt Walker,England,Middle order Batter,Left hand Bat,Right arm Medium
Matthew Boast,South Africa,Allrounder,Left hand Bat,Right arm Fast
Matthew Breetzke,South Africa,Batter,Right hand Bat,
Matthew Elliott,Australia,Opening Batter,Left hand Bat,Left arm Medium
Matthew Fisher,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Matthew Fisher,England,Bowler,Right hand Bat,Right arm Fast medium
Matthew Forde,West Indies,Bowler,Right hand Bat,Right arm Medium
Matthew Hart,New Zealand,Bowler,Left hand Bat,Slow Left arm Orthodox
Matthew Hayden,Australia,Opening Batter,Left hand Bat,Right arm Medium
Matthew Hoggard,England,Bowler,Right hand Bat,Right arm Fast medium
Matthew Humphreys,Ireland,Bowler,Right hand Bat,Slow Left arm Orthodox
Matthew Kelly,Australia,Bowler,Right hand Bat,Right arm Fast medium
Matthew Kuhnemann,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Matthew Potts,England,Bowler,Right hand Bat,Right arm Fast medium
Matthew Short,Australia,Top order Batter,Right hand Bat,Right arm Offbreak
Matthew Wade,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Maurice Tate,England,Allrounder,Right hand Bat,"Right arm Medium fast, Right arm Medium, Right arm Offbreak"
Max Bryant,Australia,Batter,Right hand Bat,Right arm Medium
Max Chu,New Zealand,Batter,Left hand Bat,
Max Holden,England,Top order Batter,Left hand Bat,Right arm Offbreak
Max Sorensen,Ireland,Bowler,Right hand Bat,Right arm Fast medium
Max Walker,Australia,Bowler,Right hand Bat,Right arm Fast medium
Mayank Agarwal,India,Batter,Right hand Bat,Right arm Offbreak
Mayank Dagar,India,Bowler,Right hand Bat,Slow Left arm Orthodox
Mayank Markande,India,Bowler,Right hand Bat,Legbreak
Mayank Tehlan,India,Allrounder,Right hand Bat,Right arm Offbreak
Md Rafi Uzzaman Rafi,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Meg Lanning,Australia,Top order Batter,Right hand Bat,Right arm Medium
Megan Schutt,Australia,Bowler,Right hand Bat,Right arm Fast medium
Meghna Singh,India,Bowler,Right hand Bat,Right arm Medium
Mehedi Hasan,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast
Mehedi Hasan Rana,Bangladesh,Bowler,Left hand Bat,Left arm Fast
Mehidy Hasan Miraz,Bangladesh,Allrounder,Right hand Bat,Right arm Offbreak
Mehrab Hossain jnr,Bangladesh,Batter,Left hand Bat,Slow Left arm Orthodox
Merissa Aguilleira,West Indies,Opening Batter,Right hand Bat,
Merv Hughes,Australia,Bowler,Right hand Bat,Right arm Fast
Mervin Matthew,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Mervyn Dillon,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Mevan Fernando,Sri Lanka,Batter,Right hand Bat,Slow Left arm Orthodox
Michael Bates,New Zealand,Bowler,Right hand Bat,Left arm Medium fast
Michael Beer,Australia,Bowler,Right hand Bat,Slow Left arm Orthodox
Michael Bevan,Australia,Batter,Left hand Bat,Left arm Wrist spin
Michael Bracewell,New Zealand,Batting Allrounder,Left hand Bat,Right arm Offbreak
Michael Carberry,England,Opening Batter,Left hand Bat,Right arm Offbreak
Michael Chinouya,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Michael Clarke,Australia,Middle order Batter,Right hand Bat,Slow Left arm Orthodox
Michael Cohen,South Africa,Bowler,Left hand Bat,Left arm Fast medium
Michael Copeland,South Africa,Middle order Batter,Right hand Bat,Right arm Offbreak
Michael Di Venuto,Australia,Opening Batter,Left hand Bat,"Right arm Medium, Legbreak Googly"
Michael Holding,West Indies,Bowler,Right hand Bat,Right arm Fast
Michael Hussey,Australia,Middle order Batter,Left hand Bat,Right arm Medium
Michael Kasprowicz,Australia,Bowler,Right hand Bat,Right arm Fast medium
Michael Klinger,Australia,Batter,Right hand Bat,
Michael Lumb,England,Top order Batter,Left hand Bat,Right arm Medium
Michael Mason,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Michael Neser,Australia,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Michael Papps,New Zealand,Opening Batter,Right hand Bat,
Michael Rippon,New Zealand,Allrounder,Right hand Bat,Left arm Wrist spin
Michael Slater,Australia,Opening Batter,Right hand Bat,Right arm Medium
Michael Vaughan,England,Opening Batter,Right hand Bat,Right arm Offbreak
Michael Yardy,England,Allrounder,Left hand Bat,Slow Left arm Orthodox
Michelle Mavunga,Zimbabwe,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Mick Lewis,Australia,Bowler,Right hand Bat,Right arm Fast medium
Mignon du Preez,South Africa,Top order Batter,Right hand Bat,
Miguel Cummins,West Indies,Bowler,Left hand Bat,Right arm Fast medium
Mike Atherton,England,Opening Batter,Right hand Bat,Legbreak
Mike Brearley,England,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Mike Denness,England,Top order Batter,Right hand Bat,
Mike Gatting,England,Top order Batter,Right hand Bat,Right arm Medium
Mike Haysman,Australia,Top order Batter,Right hand Bat,Right arm Offbreak
Mike Hendrick,England,Bowler,Right hand Bat,Right arm Fast medium
Mike Powell,England,Middle order Batter,Right hand Bat,Right arm Offbreak
Mike Smith,England,Top order Batter,Right hand Bat,
Mike Veletta,Australia,Opening Batter,Right hand Bat,
Mike Watkinson,England,Allrounder,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Mike Whitney,Australia,Bowler,Right hand Bat,Left arm Fast medium
Mikyle Louis,West Indies,Bowler,Right hand Bat,Legbreak Googly
Miles Bascombe,West Indies,Batter,Right hand Bat,
Miles Hammond,England,Top order Batter,Left hand Bat,Right arm Offbreak
Milinda Siriwardana,Sri Lanka,Allrounder,Left hand Bat,Slow Left arm Orthodox
Milton Shumba,Zimbabwe,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Minod Bhanuka,Sri Lanka,Top order Batter,Left hand Bat,
Mir Hamza,Pakistan,Bowler,Left hand Bat,Left arm Medium
Mirwais Ashraf,Afghanistan,Bowler,Right hand Bat,Right arm Fast medium
Misbah-ul-Haq,Pakistan,Middle order Batter,Right hand Bat,Legbreak
Mitchell Johnson,Australia,Bowler,Left hand Bat,Left arm Fast
Mitchell Marsh,Australia,Allrounder,Right hand Bat,Right arm Medium
Mitchell McClenaghan,New Zealand,Bowler,Left hand Bat,Left arm Fast medium
Mitchell Santner,New Zealand,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Mitchell Starc,Australia,Bowler,Left hand Bat,Left arm Fast
Mitchell Swepson,Australia,Bowler,Right hand Bat,Legbreak
Mitchell Van Buuren,South Africa,Middle order Batter,Right hand Bat,Legbreak Googly
Mithali Raj,India,Top order Batter,Right hand Bat,Legbreak
Mithun Manhas,India,Allrounder,Right hand Bat,Right arm Offbreak
Mluleki Nkala,Zimbabwe,Bowler,Right hand Bat,Right arm Medium
Moeen Ali,England,Batting Allrounder,Left hand Bat,Right arm Offbreak
Mohammad Abbas,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Mohammad Akram,Pakistan,Bowler,Right hand Bat,Right arm Fast medium
Mohammad Ali,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Mohammad Ali Khan,Pakistan,Bowler,Right hand Bat,
Mohammad Amir,Pakistan,Bowler,Left hand Bat,Left arm Fast medium
Mohammad Amir Khan,Pakistan,Bowler,Right hand Bat,Right arm Medium
Mohammad Ashraful,Bangladesh,Middle order Batter,Right hand Bat,"Right arm Offbreak, Legbreak"
Mohammad Asif,Pakistan,Bowler,Left hand Bat,Right arm Fast medium
Mohammad Asif,Afghanistan,Batter,Right hand Bat,Right arm Offbreak
Mohammad Ayub,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Mohammad Azharuddin,India,Middle order Batter,Right hand Bat,Right arm Medium
Mohammad Hafeez,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Mohammad Haris,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Mohammad Hasan,Pakistan,Middle order Batter,Right hand Bat,
Mohammad Hasnain,Pakistan,Bowler,Right hand Bat,Right arm Fast
Mohammad Irfan,Pakistan,Bowler,Right hand Bat,Left arm Fast
Mohammad Ishaq,Afghanistan,Wicketkeeper Batter,Right hand Bat,
Mohammad Kaif,India,Batter,Right hand Bat,Right arm Offbreak
Mohammad Mithun,Bangladesh,Top order Batter,Right hand Bat,
Mohammad Nabi,Afghanistan,Allrounder,Right hand Bat,Right arm Offbreak
Mohammad Naim,Bangladesh,Opening Batter,Left hand Bat,
Mohammad Nasim Baras,Afghanistan,Bowler,Left hand Bat,Slow Left arm Orthodox
Mohammad Rafique,Bangladesh,Allrounder,Left hand Bat,Slow Left arm Orthodox
Mohammad Rakib,Bangladesh,Middle order Batter,Right hand Bat,Legbreak
Mohammad Saifuddin,Bangladesh,Bowling Allrounder,Left hand Bat,Right arm Medium fast
Mohammad Saleem,Afghanistan,Bowler,Right hand Bat,Right arm Fast
Mohammad Shahid,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast
Mohammad Shahzad,Afghanistan,Wicketkeeper Batter,Right hand Bat,
Mohammad Shihab James,Bangladesh,Batter,Right hand Bat,Legbreak
Mohammed Shamaaz,Sri Lanka,Wicketkeeper Batter,Right hand Bat,Legbreak
Mohammed Shami,India,Bowler,Right hand Bat,Right arm Fast
Mohammed Siraj,India,Bowler,Right hand Bat,Right arm Fast
Mohibullah Oryakhel,Afghanistan,Batter,Right hand Bat,Right arm Medium
Mohinder Amarnath,India,Batting Allrounder,Right hand Bat,Right arm Medium
Mohit Sharma,India,Bowler,Right hand Bat,Right arm Medium
Mohnish  Mishra,India,Batter,Right hand Bat,Right arm Offbreak
Moises Henriques,Australia,Allrounder,Right hand Bat,Right arm Fast medium
Molly Penfold,New Zealand,Bowler,Right hand Bat,Right arm Medium
Molly Strano,Australia,Bowler,Right hand Bat,Right arm Offbreak
Mominul Haque,Bangladesh,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
Mona Meshram,India,Middle order Batter,Right hand Bat,Right arm Medium
Monty Noble,Australia,Allrounder,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Monty Panesar,England,Bowler,Left hand Bat,Slow Left arm Orthodox
Monu Kumar,India,Bowling Allrounder,Right hand Bat,Right arm Medium
Morne Morkel,South Africa,Bowler,Left hand Bat,Right arm Fast
Morne van Wyk,South Africa,Wicketkeeper Batter,Right hand Bat,Slow Left arm Orthodox
Mosaddek Hossain,Bangladesh,Middle order Batter,Right hand Bat,Right arm Offbreak
Moseline Daniels,South Africa,Bowler,Left hand Bat,Left arm Medium
Mosharraf Hossain,Bangladesh,Allrounder,Left hand Bat,Slow Left arm Orthodox
Motganhalli Jaisimha,India,Opening Batter,Right hand Bat,Right arm Offbreak
Mrittunjoy Chowdhury,Bangladesh,Bowler,Left hand Bat,Left arm Medium fast
MS Dhoni,India,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Mthokozisi Shezi,South Africa,Bowler,Left hand Bat,Left arm Medium
Muditha Lakshan,Sri Lanka,Middle order Batter,Right hand Bat,Slow Left arm Orthodox
Muditha Premadasa,Sri Lanka,Wicketkeeper,Left hand Bat,
Mujeeb Ur Rahman,Afghanistan,Bowler,Right hand Bat,Right arm Offbreak
Mukidul Islam,Bangladesh,Bowler,Right hand Bat,Right arm Medium fast
Muktar Ali,Bangladesh,Allrounder,Right hand Bat,Right arm Medium fast
Munaf Patel,India,Bowler,Right hand Bat,Right arm Medium fast
Munim Shahriar,Bangladesh,Batter,Right hand Bat,Right arm Medium fast
Munir Ahmad,Afghanistan,Wicketkeeper Batter,Right hand Bat,
Murali Kartik,India,Bowler,Left hand Bat,Slow Left arm Orthodox
Murali Vijay,India,Opening Batter,Right hand Bat,Right arm Offbreak
Murray Commins,Ireland,Batter,Left hand Bat,
Murray Goodwin,Zimbabwe,Top order Batter,Right hand Bat,Legbreak
Murshida Khatun,Bangladesh,Opening Batter,Left hand Bat,
Mushfiqur Rahim,Bangladesh,Wicketkeeper Batter,Right hand Bat,
Mushfiqur Rahman,Bangladesh,Bowler,Right hand Bat,Right arm Fast medium
Mustafizur Rahman,Bangladesh,Bowler,Left hand Bat,Left arm Fast medium
Muthiah Muralidaran,Sri Lanka,Bowler,Right hand Bat,Right arm Offbreak
Muthumudalige Pushpakumara,Sri Lanka,Allrounder,Left hand Bat,Right arm Offbreak
Nabil Samad,Bangladesh,Bowler,Left hand Bat,Slow Left arm Orthodox
Nadeera Nawela,Sri Lanka,Batter,Right hand Bat,Right arm Fast medium
Nadif Chowdhury,Bangladesh,Batter,Right hand Bat,Slow Left arm Orthodox
Nadine de Klerk,South Africa,Allrounder,Right hand Bat,Right arm Medium
Nadine George,West Indies,Opening Batter,Left hand Bat,
Naeem Islam,Bangladesh,Allrounder,Right hand Bat,Right arm Offbreak
Nafees Iqbal,Bangladesh,Opening Batter,Right hand Bat,Right arm Medium
Nahida Akter,Bangladesh,Bowler,Right hand Bat,Slow Left arm Orthodox
Nahida Khan,Pakistan,Opening Batter,Right hand Bat,Right arm Medium
Naimur Rahman,Bangladesh,Allrounder,Right hand Bat,Right arm Offbreak
Najaf Shah,Pakistan,Bowler,Left hand Bat,Left arm Medium fast
Najeeb Tarakai,Afghanistan,Opening Batter,Right hand Bat,Right arm Offbreak
Najibullah Zadran,Afghanistan,Middle order Batter,Left hand Bat,Right arm Offbreak
